"comando";"tipo";"regiao";"tamanho";"threads";"rodada";"init";"allocate";"mandelbrot";"write";"total";"qnt"
"./mandelbrot_pth 0.175 0.375 -0.1 0.1 16 1 ";"SEQ";1;16;1;1;0,00001;0,00003;0,00037;0,00010;0,00052;1
"./mandelbrot_pth 0.175 0.375 -0.1 0.1 16 1 ";"SEQ";1;16;1;2;0,00001;0,00004;0,00032;0,00009;0,00046;1
"./mandelbrot_pth 0.175 0.375 -0.1 0.1 16 1 ";"SEQ";1;16;1;3;0,00001;0,00003;0,00035;0,00009;0,00048;1
"./mandelbrot_pth 0.175 0.375 -0.1 0.1 16 1 ";"SEQ";1;16;1;4;0,00001;0,00003;0,00032;0,00009;0,00045;1
"./mandelbrot_pth 0.175 0.375 -0.1 0.1 16 1 ";"SEQ";1;16;1;5;0,00001;0,00003;0,00030;0,00009;0,00044;1
"./mandelbrot_pth 0.175 0.375 -0.1 0.1 16 1 ";"SEQ";1;16;1;6;0,00001;0,00003;0,00033;0,00008;0,00045;1
"./mandelbrot_pth 0.175 0.375 -0.1 0.1 16 1 ";"SEQ";1;16;1;7;0,00001;0,00003;0,00035;0,00008;0,00047;1
"./mandelbrot_pth 0.175 0.375 -0.1 0.1 16 1 ";"SEQ";1;16;1;8;0,00001;0,00003;0,00037;0,00009;0,00050;1
"./mandelbrot_pth 0.175 0.375 -0.1 0.1 16 1 ";"SEQ";1;16;1;9;0,00001;0,00003;0,00037;0,00008;0,00050;1
"./mandelbrot_pth 0.175 0.375 -0.1 0.1 32 1 ";"SEQ";1;32;1;0;0,00001;0,00005;0,00073;0,00009;0,00088;1
"./mandelbrot_pth 0.175 0.375 -0.1 0.1 32 1 ";"SEQ";1;32;1;1;0,00001;0,00005;0,00075;0,00009;0,00090;1
"./mandelbrot_pth 0.175 0.375 -0.1 0.1 32 1 ";"SEQ";1;32;1;2;0,00001;0,00004;0,00077;0,00010;0,00092;1
"./mandelbrot_pth 0.175 0.375 -0.1 0.1 32 1 ";"SEQ";1;32;1;3;0,00001;0,00005;0,00075;0,00009;0,00090;1
"./mandelbrot_pth 0.175 0.375 -0.1 0.1 32 1 ";"SEQ";1;32;1;4;0,00001;0,00005;0,00074;0,00009;0,00089;1
"./mandelbrot_pth 0.175 0.375 -0.1 0.1 32 1 ";"SEQ";1;32;1;5;0,00002;0,00008;0,00079;0,00009;0,00097;1
"./mandelbrot_pth 0.175 0.375 -0.1 0.1 32 1 ";"SEQ";1;32;1;6;0,00001;0,00005;0,00076;0,00009;0,00091;1
"./mandelbrot_pth 0.175 0.375 -0.1 0.1 32 1 ";"SEQ";1;32;1;7;0,00001;0,00005;0,00075;0,00010;0,00091;1
"./mandelbrot_pth 0.175 0.375 -0.1 0.1 32 1 ";"SEQ";1;32;1;8;0,00001;0,00005;0,00074;0,00009;0,00090;1
"./mandelbrot_pth 0.175 0.375 -0.1 0.1 32 1 ";"SEQ";1;32;1;9;0,00001;0,00005;0,00075;0,00009;0,00090;1
"./mandelbrot_pth 0.175 0.375 -0.1 0.1 64 1 ";"SEQ";1;64;1;0;0,00001;0,00011;0,00243;0,00017;0,00272;1
"./mandelbrot_pth 0.175 0.375 -0.1 0.1 64 1 ";"SEQ";1;64;1;1;0,00001;0,00011;0,00244;0,00017;0,00273;1
"./mandelbrot_pth 0.175 0.375 -0.1 0.1 64 1 ";"SEQ";1;64;1;2;0,00001;0,00011;0,00242;0,00017;0,00272;1
"./mandelbrot_pth 0.175 0.375 -0.1 0.1 64 1 ";"SEQ";1;64;1;3;0,00001;0,00013;0,00259;0,00023;0,00296;1
"./mandelbrot_pth 0.175 0.375 -0.1 0.1 64 1 ";"SEQ";1;64;1;4;0,00001;0,00013;0,00246;0,00021;0,00282;1
