"comando";"tipo";"regiao";"tamanho";"threads";"rodada";"init";"allocate";"mandelbrot";"write";"total";"qnt"
"./mandelbrot_pth 0.175 0.375 -0.1 0.1 2048 1 ";"SEQ";1;2048;1;9;0,00001;0,06610;1,88151;0,06749;2,01511;1
"./mandelbrot_pth 0.175 0.375 -0.1 0.1 4096 1 ";"SEQ";1;4096;1;0;0,00002;0,29030;7,41667;0,26508;7,97207;1
"./mandelbrot_pth 0.175 0.375 -0.1 0.1 4096 1 ";"SEQ";1;4096;1;1;0,00001;0,30254;7,39090;0,26275;7,95620;1
"./mandelbrot_pth 0.175 0.375 -0.1 0.1 4096 1 ";"SEQ";1;4096;1;2;0,00001;0,31274;7,38495;0,26414;7,96183;1
"./mandelbrot_pth 0.175 0.375 -0.1 0.1 4096 1 ";"SEQ";1;4096;1;3;0,00001;0,31175;7,39213;0,27035;7,97424;1
"./mandelbrot_pth 0.175 0.375 -0.1 0.1 4096 1 ";"SEQ";1;4096;1;4;0,00001;0,31558;7,43930;0,26857;8,02346;1
"./mandelbrot_pth 0.175 0.375 -0.1 0.1 4096 1 ";"SEQ";1;4096;1;5;0,00001;0,32144;7,54577;0,26392;8,13114;1
"./mandelbrot_pth 0.175 0.375 -0.1 0.1 4096 1 ";"SEQ";1;4096;1;6;0,00001;0,32547;7,34644;0,26775;7,93967;1
"./mandelbrot_pth 0.175 0.375 -0.1 0.1 4096 1 ";"SEQ";1;4096;1;7;0,00001;0,30518;7,39229;0,26633;7,96380;1
"./mandelbrot_pth 0.175 0.375 -0.1 0.1 4096 1 ";"SEQ";1;4096;1;8;0,00001;0,30076;7,39093;0,26280;7,95451;1
"./mandelbrot_pth 0.175 0.375 -0.1 0.1 4096 1 ";"SEQ";1;4096;1;9;0,00001;0,29848;7,36912;0,26423;7,93184;1
"./mandelbrot_pth 0.175 0.375 -0.1 0.1 8192 1 ";"SEQ";1;8192;1;0;0,00001;1,32352;30,06641;1,05907;32,44901;1
"./mandelbrot_pth 0.175 0.375 -0.1 0.1 8192 1 ";"SEQ";1;8192;1;1;0,00001;1,64271;30,34975;1,06387;33,05634;1
"./mandelbrot_pth 0.175 0.375 -0.1 0.1 8192 1 ";"SEQ";1;8192;1;2;0,00001;1,41287;29,84169;1,08021;32,33478;1
"./mandelbrot_pth 0.175 0.375 -0.1 0.1 8192 1 ";"SEQ";1;8192;1;3;0,00001;1,55470;31,00505;1,09817;33,65793;1
"./mandelbrot_pth 0.175 0.375 -0.1 0.1 8192 1 ";"SEQ";1;8192;1;4;0,00001;1,44889;29,99629;1,09056;32,53575;1
"./mandelbrot_pth 0.175 0.375 -0.1 0.1 8192 1 ";"SEQ";1;8192;1;5;0,00001;1,38632;30,14215;1,09704;32,62552;1
"./mandelbrot_pth 0.175 0.375 -0.1 0.1 8192 1 ";"SEQ";1;8192;1;6;0,00001;1,48105;30,02949;1,08503;32,59558;1
"./mandelbrot_pth 0.175 0.375 -0.1 0.1 8192 1 ";"SEQ";1;8192;1;7;0,00001;1,43012;29,95332;1,08437;32,46783;1
"./mandelbrot_pth 0.175 0.375 -0.1 0.1 8192 1 ";"SEQ";1;8192;1;8;0,00002;1,52609;29,94139;1,13807;32,60557;1
"./mandelbrot_pth 0.175 0.375 -0.1 0.1 8192 1 ";"SEQ";1;8192;1;9;0,00001;1,47579;30,01198;1,08425;32,57204;1
"./mandelbrot_pth -0.8 -0.7 0.05 0.15 16 1 ";"SEQ";2;16;1;0;0,00001;0,00003;0,00045;0,22961;0,23010;1
"./mandelbrot_pth -0.8 -0.7 0.05 0.15 16 1 ";"SEQ";2;16;1;1;0,00001;0,00004;0,00039;0,00008;0,00053;1
"./mandelbrot_pth -0.8 -0.7 0.05 0.15 16 1 ";"SEQ";2;16;1;2;0,00001;0,00003;0,00036;0,01212;0,01253;1
"./mandelbrot_pth -0.8 -0.7 0.05 0.15 16 1 ";"SEQ";2;16;1;3;0,00002;0,00004;0,00039;0,01728;0,01772;1
"./mandelbrot_pth -0.8 -0.7 0.05 0.15 16 1 ";"SEQ";2;16;1;4;0,00001;0,00003;0,00052;0,01629;0,01686;1
"./mandelbrot_pth -0.8 -0.7 0.05 0.15 16 1 ";"SEQ";2;16;1;5;0,00001;0,00003;0,00041;0,01669;0,01716;1
"./mandelbrot_pth -0.8 -0.7 0.05 0.15 16 1 ";"SEQ";2;16;1;6;0,00001;0,00003;0,00046;0,01642;0,01692;1
"./mandelbrot_pth -0.8 -0.7 0.05 0.15 16 1 ";"SEQ";2;16;1;7;0,00001;0,00003;0,00042;0,01695;0,01741;1
"./mandelbrot_pth -0.8 -0.7 0.05 0.15 16 1 ";"SEQ";2;16;1;8;0,00002;0,00004;0,00052;0,01604;0,01662;1
"./mandelbrot_pth -0.8 -0.7 0.05 0.15 16 1 ";"SEQ";2;16;1;9;0,00001;0,00003;0,00042;0,00009;0,00054;1
"./mandelbrot_pth -0.8 -0.7 0.05 0.15 32 1 ";"SEQ";2;32;1;0;0,00001;0,00005;0,00086;0,00008;0,00099;1
"./mandelbrot_pth -0.8 -0.7 0.05 0.15 32 1 ";"SEQ";2;32;1;1;0,00001;0,00005;0,00084;0,01275;0,01364;1
"./mandelbrot_pth -0.8 -0.7 0.05 0.15 32 1 ";"SEQ";2;32;1;2;0,00001;0,00004;0,00089;0,01694;0,01788;1
"./mandelbrot_pth -0.8 -0.7 0.05 0.15 32 1 ";"SEQ";2;32;1;3;0,00001;0,00004;0,00077;0,01618;0,01701;1
"./mandelbrot_pth -0.8 -0.7 0.05 0.15 32 1 ";"SEQ";2;32;1;4;0,00001;0,00004;0,00080;0,00008;0,00094;1
"./mandelbrot_pth -0.8 -0.7 0.05 0.15 32 1 ";"SEQ";2;32;1;5;0,00001;0,00004;0,00076;0,00584;0,00665;1
"./mandelbrot_pth -0.8 -0.7 0.05 0.15 32 1 ";"SEQ";2;32;1;6;0,00001;0,00004;0,00106;0,00660;0,00772;1
"./mandelbrot_pth -0.8 -0.7 0.05 0.15 32 1 ";"SEQ";2;32;1;7;0,00001;0,00004;0,00080;0,00328;0,00413;1
"./mandelbrot_pth -0.8 -0.7 0.05 0.15 32 1 ";"SEQ";2;32;1;8;0,00001;0,00004;0,00071;0,00007;0,00083;1
"./mandelbrot_pth -0.8 -0.7 0.05 0.15 32 1 ";"SEQ";2;32;1;9;0,00001;0,00004;0,00069;0,00007;0,00080;1
"./mandelbrot_pth -0.8 -0.7 0.05 0.15 64 1 ";"SEQ";2;64;1;0;0,00001;0,00009;0,00217;0,00012;0,00238;1
"./mandelbrot_pth -0.8 -0.7 0.05 0.15 64 1 ";"SEQ";2;64;1;1;0,00001;0,00009;0,00209;0,00011;0,00229;1
"./mandelbrot_pth -0.8 -0.7 0.05 0.15 64 1 ";"SEQ";2;64;1;2;0,00001;0,00008;0,00245;0,00016;0,00269;1
"./mandelbrot_pth -0.8 -0.7 0.05 0.15 64 1 ";"SEQ";2;64;1;3;0,00001;0,00009;0,00215;0,00017;0,00241;1
"./mandelbrot_pth -0.8 -0.7 0.05 0.15 64 1 ";"SEQ";2;64;1;4;0,00001;0,00008;0,00216;0,00011;0,00237;1
"./mandelbrot_pth -0.8 -0.7 0.05 0.15 64 1 ";"SEQ";2;64;1;5;0,00001;0,00010;0,00214;0,00011;0,00236;1
"./mandelbrot_pth -0.8 -0.7 0.05 0.15 64 1 ";"SEQ";2;64;1;6;0,00001;0,00009;0,00212;0,00014;0,00235;1
"./mandelbrot_pth -0.8 -0.7 0.05 0.15 64 1 ";"SEQ";2;64;1;7;0,00002;0,00012;0,00213;0,00014;0,00241;1
"./mandelbrot_pth -0.8 -0.7 0.05 0.15 64 1 ";"SEQ";2;64;1;8;0,00001;0,00009;0,00217;0,00011;0,00238;1
"./mandelbrot_pth -0.8 -0.7 0.05 0.15 64 1 ";"SEQ";2;64;1;9;0,00001;0,00008;0,00227;0,00012;0,00248;1
"./mandelbrot_pth -0.8 -0.7 0.05 0.15 128 1 ";"SEQ";2;128;1;0;0,00001;0,00028;0,00810;0,00033;0,00872;1
"./mandelbrot_pth -0.8 -0.7 0.05 0.15 128 1 ";"SEQ";2;128;1;1;0,00001;0,00028;0,00802;0,00030;0,00861;1
"./mandelbrot_pth -0.8 -0.7 0.05 0.15 128 1 ";"SEQ";2;128;1;2;0,00001;0,00030;0,00820;0,00035;0,00885;1
"./mandelbrot_pth -0.8 -0.7 0.05 0.15 128 1 ";"SEQ";2;128;1;3;0,00001;0,00033;0,00798;0,00044;0,00876;1
"./mandelbrot_pth -0.8 -0.7 0.05 0.15 128 1 ";"SEQ";2;128;1;4;0,00001;0,00028;0,00795;0,00031;0,00855;1
"./mandelbrot_pth -0.8 -0.7 0.05 0.15 128 1 ";"SEQ";2;128;1;5;0,00001;0,00028;0,00828;0,00036;0,00893;1
"./mandelbrot_pth -0.8 -0.7 0.05 0.15 128 1 ";"SEQ";2;128;1;6;0,00001;0,00029;0,00798;0,00030;0,00858;1
"./mandelbrot_pth -0.8 -0.7 0.05 0.15 128 1 ";"SEQ";2;128;1;7;0,00001;0,00040;0,00860;0,00040;0,00941;1
"./mandelbrot_pth -0.8 -0.7 0.05 0.15 128 1 ";"SEQ";2;128;1;8;0,00001;0,00030;0,00849;0,00037;0,00917;1
"./mandelbrot_pth -0.8 -0.7 0.05 0.15 128 1 ";"SEQ";2;128;1;9;0,00001;0,00029;0,00815;0,00032;0,00878;1
"./mandelbrot_pth -0.8 -0.7 0.05 0.15 256 1 ";"SEQ";2;256;1;0;0,00001;0,00119;0,03243;0,00110;0,03473;1
"./mandelbrot_pth -0.8 -0.7 0.05 0.15 256 1 ";"SEQ";2;256;1;1;0,00001;0,00111;0,03267;0,00172;0,03551;1
"./mandelbrot_pth -0.8 -0.7 0.05 0.15 256 1 ";"SEQ";2;256;1;2;0,00001;0,00162;0,03340;0,00114;0,03617;1
"./mandelbrot_pth -0.8 -0.7 0.05 0.15 256 1 ";"SEQ";2;256;1;3;0,00001;0,00111;0,03278;0,00121;0,03511;1
"./mandelbrot_pth -0.8 -0.7 0.05 0.15 256 1 ";"SEQ";2;256;1;4;0,00001;0,00108;0,03248;0,00111;0,03467;1
"./mandelbrot_pth -0.8 -0.7 0.05 0.15 256 1 ";"SEQ";2;256;1;5;0,00002;0,00145;0,03150;0,00124;0,03420;1
"./mandelbrot_pth -0.8 -0.7 0.05 0.15 256 1 ";"SEQ";2;256;1;6;0,00001;0,00105;0,03179;0,00112;0,03397;1
"./mandelbrot_pth -0.8 -0.7 0.05 0.15 256 1 ";"SEQ";2;256;1;7;0,00001;0,00110;0,03196;0,00118;0,03425;1
"./mandelbrot_pth -0.8 -0.7 0.05 0.15 256 1 ";"SEQ";2;256;1;8;0,00001;0,00106;0,03176;0,00111;0,03394;1
"./mandelbrot_pth -0.8 -0.7 0.05 0.15 256 1 ";"SEQ";2;256;1;9;0,00001;0,00107;0,03163;0,00110;0,03381;1
"./mandelbrot_pth -0.8 -0.7 0.05 0.15 512 1 ";"SEQ";2;512;1;0;0,00001;0,00427;0,12963;0,00502;0,13892;1
"./mandelbrot_pth -0.8 -0.7 0.05 0.15 512 1 ";"SEQ";2;512;1;1;0,00001;0,00429;0,13315;0,00495;0,14240;1
"./mandelbrot_pth -0.8 -0.7 0.05 0.15 512 1 ";"SEQ";2;512;1;2;0,00001;0,00532;0,12998;0,00455;0,13986;1
"./mandelbrot_pth -0.8 -0.7 0.05 0.15 512 1 ";"SEQ";2;512;1;3;0,00001;0,00437;0,12601;0,00417;0,13456;1
"./mandelbrot_pth -0.8 -0.7 0.05 0.15 512 1 ";"SEQ";2;512;1;4;0,00001;0,00441;0,12521;0,00430;0,13394;1
