Comando,Tipo,Regiao,Tamanho,Thread,Rodada,Init,Allocate,Mandelbrot,Write,Total
./mandelbrot_omp -0.188 -0.012 0.554 0.754 4096 2 ,OMP,0,4096,2,7,0.00002,0.35792,5.24879,0.31676,5.92348
./mandelbrot_pth -0.188 -0.012 0.554 0.754 4096 2 ,PTH,0,4096,2,7,0.00001,0.32195,4.92129,0.35195,5.59520
./mandelbrot_omp -0.188 -0.012 0.554 0.754 4096 2 ,OMP,0,4096,2,8,0.00001,0.41201,5.40966,0.31982,6.14150
./mandelbrot_pth -0.188 -0.012 0.554 0.754 4096 2 ,PTH,0,4096,2,8,0.00001,0.33375,5.14458,0.33562,5.81397
./mandelbrot_omp -0.188 -0.012 0.554 0.754 4096 2 ,OMP,0,4096,2,9,0.00001,0.36182,5.14584,0.30904,5.81671
./mandelbrot_pth -0.188 -0.012 0.554 0.754 4096 2 ,PTH,0,4096,2,9,0.00002,0.30364,4.67746,0.31380,5.29491
./mandelbrot_omp -0.188 -0.012 0.554 0.754 8192 2 ,OMP,0,8192,2,0,0.00001,1.39211,20.56169,1.31191,23.26571
./mandelbrot_pth -0.188 -0.012 0.554 0.754 8192 2 ,PTH,0,8192,2,0,0.00001,1.57990,19.87489,1.37413,22.82893
./mandelbrot_omp -0.188 -0.012 0.554 0.754 8192 2 ,OMP,0,8192,2,1,0.00001,1.84691,20.64857,1.26102,23.75652
./mandelbrot_pth -0.188 -0.012 0.554 0.754 8192 2 ,PTH,0,8192,2,1,0.00001,1.96500,19.39049,1.46059,22.81610
./mandelbrot_omp -0.188 -0.012 0.554 0.754 8192 2 ,OMP,0,8192,2,2,0.00001,2.04195,20.23001,1.21864,23.49061
./mandelbrot_pth -0.188 -0.012 0.554 0.754 8192 2 ,PTH,0,8192,2,2,0.00001,1.40052,18.97909,1.44231,21.82193
./mandelbrot_omp -0.188 -0.012 0.554 0.754 8192 2 ,OMP,0,8192,2,3,0.00001,1.53817,19.82829,1.22563,22.59210
./mandelbrot_pth -0.188 -0.012 0.554 0.754 8192 2 ,PTH,0,8192,2,3,0.00001,1.52379,18.81402,1.59137,21.92920
./mandelbrot_omp -0.188 -0.012 0.554 0.754 8192 2 ,OMP,0,8192,2,4,0.00001,2.00207,21.45366,1.30683,24.76257
./mandelbrot_pth -0.188 -0.012 0.554 0.754 8192 2 ,PTH,0,8192,2,4,0.00001,1.72884,19.88562,1.38537,22.99984
./mandelbrot_omp -0.188 -0.012 0.554 0.754 8192 2 ,OMP,0,8192,2,5,0.00002,1.67033,20.45535,1.46792,23.59362
./mandelbrot_pth -0.188 -0.012 0.554 0.754 8192 2 ,PTH,0,8192,2,5,0.00001,1.68916,20.06730,1.43526,23.19174
./mandelbrot_omp -0.188 -0.012 0.554 0.754 8192 2 ,OMP,0,8192,2,6,0.00001,1.72765,21.73498,1.47400,24.93664
./mandelbrot_pth -0.188 -0.012 0.554 0.754 8192 2 ,PTH,0,8192,2,6,0.00001,1.72672,21.64072,1.38648,24.75394
./mandelbrot_omp -0.188 -0.012 0.554 0.754 8192 2 ,OMP,0,8192,2,7,0.00001,1.59496,20.01251,1.24774,22.85523
./mandelbrot_pth -0.188 -0.012 0.554 0.754 8192 2 ,PTH,0,8192,2,7,0.00004,1.73289,21.57142,1.35487,24.65922
./mandelbrot_omp -0.188 -0.012 0.554 0.754 8192 2 ,OMP,0,8192,2,8,0.00001,1.87666,20.89042,1.23097,23.99806
./mandelbrot_pth -0.188 -0.012 0.554 0.754 8192 2 ,PTH,0,8192,2,8,0.00002,1.96933,20.05933,1.43994,23.46861
./mandelbrot_omp -0.188 -0.012 0.554 0.754 8192 2 ,OMP,0,8192,2,9,0.00001,1.68749,20.69988,1.24073,23.62811
./mandelbrot_pth -0.188 -0.012 0.554 0.754 8192 2 ,PTH,0,8192,2,9,0.00001,1.42843,19.63188,1.38939,22.44971
./mandelbrot_omp -0.188 -0.012 0.554 0.754 16 4 ,OMP,0,16,4,0,0.00001,0.00000,0.00033,0.23680,0.23715
./mandelbrot_pth -0.188 -0.012 0.554 0.754 16 4 ,PTH,0,16,4,0,0.00002,0.00004,0.00041,0.00013,0.00060
./mandelbrot_omp -0.188 -0.012 0.554 0.754 16 4 ,OMP,0,16,4,1,0.00001,0.00001,0.00033,0.00010,0.00045
./mandelbrot_pth -0.188 -0.012 0.554 0.754 16 4 ,PTH,0,16,4,1,0.00001,0.00004,0.00037,0.00011,0.00053
./mandelbrot_omp -0.188 -0.012 0.554 0.754 16 4 ,OMP,0,16,4,2,0.00001,0.00000,0.00030,0.00009,0.00041
./mandelbrot_pth -0.188 -0.012 0.554 0.754 16 4 ,PTH,0,16,4,2,0.00001,0.00003,0.00037,0.00009,0.00051
./mandelbrot_omp -0.188 -0.012 0.554 0.754 16 4 ,OMP,0,16,4,3,0.00001,0.00001,0.00031,0.00010,0.00042
./mandelbrot_pth -0.188 -0.012 0.554 0.754 16 4 ,PTH,0,16,4,3,0.00002,0.00005,0.00039,0.00010,0.00057
./mandelbrot_omp -0.188 -0.012 0.554 0.754 16 4 ,OMP,0,16,4,4,0.00001,0.00001,0.00031,0.00010,0.00042
./mandelbrot_pth -0.188 -0.012 0.554 0.754 16 4 ,PTH,0,16,4,4,0.00001,0.00003,0.00039,0.00010,0.00054
./mandelbrot_omp -0.188 -0.012 0.554 0.754 16 4 ,OMP,0,16,4,5,0.00001,0.00001,0.00031,0.00009,0.00041
./mandelbrot_pth -0.188 -0.012 0.554 0.754 16 4 ,PTH,0,16,4,5,0.00001,0.00003,0.00036,0.00010,0.00051
./mandelbrot_omp -0.188 -0.012 0.554 0.754 16 4 ,OMP,0,16,4,6,0.00001,0.00001,0.00033,0.00010,0.00045
./mandelbrot_pth -0.188 -0.012 0.554 0.754 16 4 ,PTH,0,16,4,6,0.00001,0.00004,0.00042,0.00010,0.00058
./mandelbrot_omp -0.188 -0.012 0.554 0.754 16 4 ,OMP,0,16,4,7,0.00001,0.00001,0.00033,0.00009,0.00043
./mandelbrot_pth -0.188 -0.012 0.554 0.754 16 4 ,PTH,0,16,4,7,0.00001,0.00005,0.00047,0.00010,0.00064
./mandelbrot_omp -0.188 -0.012 0.554 0.754 16 4 ,OMP,0,16,4,8,0.00001,0.00001,0.00032,0.00009,0.00042
./mandelbrot_pth -0.188 -0.012 0.554 0.754 16 4 ,PTH,0,16,4,8,0.00001,0.00004,0.00036,0.00008,0.00048
./mandelbrot_omp -0.188 -0.012 0.554 0.754 16 4 ,OMP,0,16,4,9,0.00001,0.00001,0.00034,0.00010,0.00045
./mandelbrot_pth -0.188 -0.012 0.554 0.754 16 4 ,PTH,0,16,4,9,0.00001,0.00003,0.00047,0.00011,0.00062
./mandelbrot_omp -0.188 -0.012 0.554 0.754 32 4 ,OMP,0,32,4,0,0.00001,0.00003,0.00058,0.00010,0.00073
./mandelbrot_pth -0.188 -0.012 0.554 0.754 32 4 ,PTH,0,32,4,0,0.00001,0.00007,0.00051,0.00012,0.00071
./mandelbrot_omp -0.188 -0.012 0.554 0.754 32 4 ,OMP,0,32,4,1,0.00001,0.00002,0.00057,0.00011,0.00072
./mandelbrot_pth -0.188 -0.012 0.554 0.754 32 4 ,PTH,0,32,4,1,0.00001,0.00006,0.00052,0.00012,0.00071
./mandelbrot_omp -0.188 -0.012 0.554 0.754 32 4 ,OMP,0,32,4,2,0.00001,0.00003,0.00056,0.00012,0.00071
./mandelbrot_pth -0.188 -0.012 0.554 0.754 32 4 ,PTH,0,32,4,2,0.00001,0.00006,0.00060,0.00014,0.00081
./mandelbrot_omp -0.188 -0.012 0.554 0.754 32 4 ,OMP,0,32,4,3,0.00001,0.00002,0.00157,0.00020,0.00180
./mandelbrot_pth -0.188 -0.012 0.554 0.754 32 4 ,PTH,0,32,4,3,0.00001,0.00006,0.00058,0.00014,0.00079
./mandelbrot_omp -0.188 -0.012 0.554 0.754 32 4 ,OMP,0,32,4,4,0.00001,0.00005,0.00057,0.00013,0.00076
./mandelbrot_pth -0.188 -0.012 0.554 0.754 32 4 ,PTH,0,32,4,4,0.00001,0.00006,0.00061,0.00012,0.00081
./mandelbrot_omp -0.188 -0.012 0.554 0.754 32 4 ,OMP,0,32,4,5,0.00001,0.00003,0.00057,0.00012,0.00072
