Comando,Tipo,Regiao,Tamanho,Thread,Rodada,Init,Allocate,Mandelbrot,Write,Total
./mandelbrot_pth -0.188 -0.012 0.554 0.754 1024 8 ,PTH,0,1024,8,8,0.00001,0.02148,0.11073,0.02249,0.15471
./mandelbrot_omp -0.188 -0.012 0.554 0.754 1024 8 ,OMP,0,1024,8,9,0.00001,0.02186,0.13065,0.02579,0.17832
./mandelbrot_pth -0.188 -0.012 0.554 0.754 1024 8 ,PTH,0,1024,8,9,0.00001,0.02221,0.11039,0.02258,0.15520
./mandelbrot_omp -0.188 -0.012 0.554 0.754 2048 8 ,OMP,0,2048,8,0,0.00001,0.08611,0.49202,0.09352,0.67166
./mandelbrot_pth -0.188 -0.012 0.554 0.754 2048 8 ,PTH,0,2048,8,0,0.00001,0.08279,0.45048,0.09227,0.62556
./mandelbrot_omp -0.188 -0.012 0.554 0.754 2048 8 ,OMP,0,2048,8,1,0.00001,0.08081,0.50327,0.09228,0.67637
./mandelbrot_pth -0.188 -0.012 0.554 0.754 2048 8 ,PTH,0,2048,8,1,0.00001,0.07855,0.43999,0.09184,0.61039
./mandelbrot_omp -0.188 -0.012 0.554 0.754 2048 8 ,OMP,0,2048,8,2,0.00001,0.07853,0.49797,0.09160,0.66811
./mandelbrot_pth -0.188 -0.012 0.554 0.754 2048 8 ,PTH,0,2048,8,2,0.00002,0.07767,0.44692,0.08819,0.61279
./mandelbrot_omp -0.188 -0.012 0.554 0.754 2048 8 ,OMP,0,2048,8,3,0.00001,0.07970,0.48799,0.09203,0.65973
./mandelbrot_pth -0.188 -0.012 0.554 0.754 2048 8 ,PTH,0,2048,8,3,0.00002,0.07886,0.44790,0.08831,0.61509
./mandelbrot_omp -0.188 -0.012 0.554 0.754 2048 8 ,OMP,0,2048,8,4,0.00001,0.08048,0.49782,0.09310,0.67141
./mandelbrot_pth -0.188 -0.012 0.554 0.754 2048 8 ,PTH,0,2048,8,4,0.00001,0.07949,0.43697,0.08971,0.60619
./mandelbrot_omp -0.188 -0.012 0.554 0.754 2048 8 ,OMP,0,2048,8,5,0.00001,0.08048,0.47981,0.09347,0.65377
./mandelbrot_pth -0.188 -0.012 0.554 0.754 2048 8 ,PTH,0,2048,8,5,0.00002,0.08019,0.45104,0.09595,0.62719
./mandelbrot_omp -0.188 -0.012 0.554 0.754 2048 8 ,OMP,0,2048,8,6,0.00001,0.08214,0.49575,0.09275,0.67065
./mandelbrot_pth -0.188 -0.012 0.554 0.754 2048 8 ,PTH,0,2048,8,6,0.00001,0.08313,0.47471,0.08910,0.64695
./mandelbrot_omp -0.188 -0.012 0.554 0.754 2048 8 ,OMP,0,2048,8,7,0.00001,0.08092,0.49338,0.09433,0.66865
./mandelbrot_pth -0.188 -0.012 0.554 0.754 2048 8 ,PTH,0,2048,8,7,0.00001,0.08032,0.44918,0.08872,0.61824
./mandelbrot_omp -0.188 -0.012 0.554 0.754 2048 8 ,OMP,0,2048,8,8,0.00001,0.08155,0.50478,0.09360,0.67993
./mandelbrot_pth -0.188 -0.012 0.554 0.754 2048 8 ,PTH,0,2048,8,8,0.00001,0.07823,0.44024,0.09089,0.60938
./mandelbrot_omp -0.188 -0.012 0.554 0.754 2048 8 ,OMP,0,2048,8,9,0.00001,0.08469,0.48583,0.09388,0.66441
./mandelbrot_pth -0.188 -0.012 0.554 0.754 2048 8 ,PTH,0,2048,8,9,0.00001,0.08192,0.49147,0.09088,0.66428
./mandelbrot_omp -0.188 -0.012 0.554 0.754 4096 8 ,OMP,0,4096,8,0,0.00001,0.32689,2.06059,0.35120,2.73869
./mandelbrot_pth -0.188 -0.012 0.554 0.754 4096 8 ,PTH,0,4096,8,0,0.00002,0.32335,1.82328,0.33831,2.48495
./mandelbrot_omp -0.188 -0.012 0.554 0.754 4096 8 ,OMP,0,4096,8,1,0.00001,0.32108,2.00218,0.34563,2.66890
./mandelbrot_pth -0.188 -0.012 0.554 0.754 4096 8 ,PTH,0,4096,8,1,0.00002,0.33049,2.07210,0.42279,2.82540
./mandelbrot_omp -0.188 -0.012 0.554 0.754 4096 8 ,OMP,0,4096,8,2,0.00002,0.40605,2.07877,0.33511,2.81995
./mandelbrot_pth -0.188 -0.012 0.554 0.754 4096 8 ,PTH,0,4096,8,2,0.00002,0.33781,1.89757,0.36021,2.59561
./mandelbrot_omp -0.188 -0.012 0.554 0.754 4096 8 ,OMP,0,4096,8,3,0.00001,0.33641,1.96121,0.33417,2.63179
./mandelbrot_pth -0.188 -0.012 0.554 0.754 4096 8 ,PTH,0,4096,8,3,0.00002,0.31824,1.85601,0.34188,2.51615
./mandelbrot_omp -0.188 -0.012 0.554 0.754 4096 8 ,OMP,0,4096,8,4,0.00002,0.33674,2.03363,0.33559,2.70600
./mandelbrot_pth -0.188 -0.012 0.554 0.754 4096 8 ,PTH,0,4096,8,4,0.00001,0.31166,1.85902,0.33527,2.50597
./mandelbrot_omp -0.188 -0.012 0.554 0.754 4096 8 ,OMP,0,4096,8,5,0.00001,0.33589,1.98999,0.33955,2.66545
./mandelbrot_pth -0.188 -0.012 0.554 0.754 4096 8 ,PTH,0,4096,8,5,0.00001,0.30653,1.85217,0.34162,2.50033
./mandelbrot_omp -0.188 -0.012 0.554 0.754 4096 8 ,OMP,0,4096,8,6,0.00002,0.31593,1.95159,0.32835,2.59588
./mandelbrot_pth -0.188 -0.012 0.554 0.754 4096 8 ,PTH,0,4096,8,6,0.00001,0.31348,1.81914,0.34009,2.47272
./mandelbrot_omp -0.188 -0.012 0.554 0.754 4096 8 ,OMP,0,4096,8,7,0.00001,0.31131,1.95238,0.34035,2.60404
./mandelbrot_pth -0.188 -0.012 0.554 0.754 4096 8 ,PTH,0,4096,8,7,0.00001,0.31621,1.86959,0.35219,2.53800
./mandelbrot_omp -0.188 -0.012 0.554 0.754 4096 8 ,OMP,0,4096,8,8,0.00001,0.32476,2.00686,0.32718,2.65881
./mandelbrot_pth -0.188 -0.012 0.554 0.754 4096 8 ,PTH,0,4096,8,8,0.00001,0.31201,1.83239,0.34110,2.48551
./mandelbrot_omp -0.188 -0.012 0.554 0.754 4096 8 ,OMP,0,4096,8,9,0.00001,0.31758,2.00792,0.34472,2.67022
./mandelbrot_pth -0.188 -0.012 0.554 0.754 4096 8 ,PTH,0,4096,8,9,0.00001,0.31565,1.85335,0.33677,2.50578
./mandelbrot_omp -0.188 -0.012 0.554 0.754 8192 8 ,OMP,0,8192,8,0,0.00003,1.53526,8.23189,1.21344,10.98062
./mandelbrot_pth -0.188 -0.012 0.554 0.754 8192 8 ,PTH,0,8192,8,0,0.00001,1.63701,7.73699,1.23798,10.61199
./mandelbrot_omp -0.188 -0.012 0.554 0.754 8192 8 ,OMP,0,8192,8,1,0.00001,1.72211,8.07237,1.23078,11.02527
./mandelbrot_pth -0.188 -0.012 0.554 0.754 8192 8 ,PTH,0,8192,8,1,0.00001,2.00954,8.37191,1.28408,11.66555
./mandelbrot_omp -0.188 -0.012 0.554 0.754 8192 8 ,OMP,0,8192,8,2,0.00001,1.88573,7.89165,1.17698,10.95437
./mandelbrot_pth -0.188 -0.012 0.554 0.754 8192 8 ,PTH,0,8192,8,2,0.00001,1.73657,7.35422,1.22817,10.31896
./mandelbrot_omp -0.188 -0.012 0.554 0.754 8192 8 ,OMP,0,8192,8,3,0.00001,1.87297,11.11884,1.61604,14.60786
./mandelbrot_pth -0.188 -0.012 0.554 0.754 8192 8 ,PTH,0,8192,8,3,0.00002,2.49217,11.39524,1.56432,15.45174
./mandelbrot_omp -0.188 -0.012 0.554 0.754 8192 8 ,OMP,0,8192,8,4,0.00001,2.17708,11.69311,1.61162,15.48182
./mandelbrot_pth -0.188 -0.012 0.554 0.754 8192 8 ,PTH,0,8192,8,4,0.00001,2.43484,10.67222,2.02332,15.13040
./mandelbrot_omp -0.188 -0.012 0.554 0.754 8192 8 ,OMP,0,8192,8,5,0.00001,2.90073,10.09649,1.41525,14.41248
./mandelbrot_pth -0.188 -0.012 0.554 0.754 8192 8 ,PTH,0,8192,8,5,0.00002,1.93343,8.67447,1.43135,12.03926
./mandelbrot_omp -0.188 -0.012 0.554 0.754 8192 8 ,OMP,0,8192,8,6,0.00001,1.92781,12.59345,1.20483,15.72610
./mandelbrot_pth -0.188 -0.012 0.554 0.754 8192 8 ,PTH,0,8192,8,6,0.00001,1.64472,7.47262,1.24084,10.35820
./mandelbrot_omp -0.188 -0.012 0.554 0.754 8192 8 ,OMP,0,8192,8,7,0.00001,1.76941,7.72248,1.20896,10.70085
./mandelbrot_pth -0.188 -0.012 0.554 0.754 8192 8 ,PTH,0,8192,8,7,0.00001,1.77728,10.09896,2.26718,14.14343
./mandelbrot_omp -0.188 -0.012 0.554 0.754 8192 8 ,OMP,0,8192,8,8,0.00001,2.02217,7.93426,1.41435,11.37079
./mandelbrot_pth -0.188 -0.012 0.554 0.754 8192 8 ,PTH,0,8192,8,8,0.00001,1.92197,7.45999,1.22845,10.61043
./mandelbrot_omp -0.188 -0.012 0.554 0.754 8192 8 ,OMP,0,8192,8,9,0.00001,1.72229,7.94171,1.20080,10.86481
./mandelbrot_pth -0.188 -0.012 0.554 0.754 8192 8 ,PTH,0,8192,8,9,0.00001,1.74184,7.40250,1.23307,10.37742
./mandelbrot_omp -0.188 -0.012 0.554 0.754 16 16 ,OMP,0,16,16,0,0.00001,0.00000,0.00095,0.23334,0.23430
./mandelbrot_pth -0.188 -0.012 0.554 0.754 16 16 ,PTH,0,16,16,0,0.00001,0.00004,0.00079,0.01657,0.01742
./mandelbrot_omp -0.188 -0.012 0.554 0.754 16 16 ,OMP,0,16,16,1,0.00002,0.00001,0.00115,0.01908,0.02025
./mandelbrot_pth -0.188 -0.012 0.554 0.754 16 16 ,PTH,0,16,16,1,0.00002,0.00004,0.00087,0.02055,0.02147
./mandelbrot_omp -0.188 -0.012 0.554 0.754 16 16 ,OMP,0,16,16,2,0.00001,0.00001,0.00113,0.02083,0.02198
./mandelbrot_pth -0.188 -0.012 0.554 0.754 16 16 ,PTH,0,16,16,2,0.00001,0.00004,0.00084,0.00009,0.00098
./mandelbrot_omp -0.188 -0.012 0.554 0.754 16 16 ,OMP,0,16,16,3,0.00001,0.00001,0.00111,0.01809,0.01921
./mandelbrot_pth -0.188 -0.012 0.554 0.754 16 16 ,PTH,0,16,16,3,0.00002,0.00004,0.00105,0.01959,0.02070
./mandelbrot_omp -0.188 -0.012 0.554 0.754 16 16 ,OMP,0,16,16,4,0.00001,0.00001,0.00115,0.01402,0.01520
./mandelbrot_pth -0.188 -0.012 0.554 0.754 16 16 ,PTH,0,16,16,4,0.00002,0.00004,0.00104,0.00009,0.00118
./mandelbrot_omp -0.188 -0.012 0.554 0.754 16 16 ,OMP,0,16,16,5,0.00001,0.00001,0.00115,0.00486,0.00603
./mandelbrot_pth -0.188 -0.012 0.554 0.754 16 16 ,PTH,0,16,16,5,0.00001,0.00004,0.00098,0.00835,0.00937
./mandelbrot_omp -0.188 -0.012 0.554 0.754 16 16 ,OMP,0,16,16,6,0.00001,0.00001,0.00115,0.00009,0.00126
./mandelbrot_pth -0.188 -0.012 0.554 0.754 16 16 ,PTH,0,16,16,6,0.00001,0.00004,0.00088,0.00570,0.00664
./mandelbrot_omp -0.188 -0.012 0.554 0.754 16 16 ,OMP,0,16,16,7,0.00002,0.00001,0.00118,0.00808,0.00928
./mandelbrot_pth -0.188 -0.012 0.554 0.754 16 16 ,PTH,0,16,16,7,0.00002,0.00003,0.00726,0.00010,0.00742
./mandelbrot_omp -0.188 -0.012 0.554 0.754 16 16 ,OMP,0,16,16,8,0.00001,0.00000,0.00097,0.00008,0.00106
./mandelbrot_pth -0.188 -0.012 0.554 0.754 16 16 ,PTH,0,16,16,8,0.00002,0.00004,0.00084,0.00010,0.00099
./mandelbrot_omp -0.188 -0.012 0.554 0.754 16 16 ,OMP,0,16,16,9,0.00001,0.00001,0.00100,0.00007,0.00109
./mandelbrot_pth -0.188 -0.012 0.554 0.754 16 16 ,PTH,0,16,16,9,0.00001,0.00003,0.00074,0.00008,0.00087
./mandelbrot_omp -0.188 -0.012 0.554 0.754 32 16 ,OMP,0,32,16,0,0.00001,0.00002,0.00124,0.00008,0.00135
./mandelbrot_pth -0.188 -0.012 0.554 0.754 32 16 ,PTH,0,32,16,0,0.00001,0.00006,0.00122,0.00008,0.00138
./mandelbrot_omp -0.188 -0.012 0.554 0.754 32 16 ,OMP,0,32,16,1,0.00001,0.00002,0.00124,0.00010,0.00136
./mandelbrot_pth -0.188 -0.012 0.554 0.754 32 16 ,PTH,0,32,16,1,0.00001,0.00005,0.00099,0.00008,0.00113
./mandelbrot_omp -0.188 -0.012 0.554 0.754 32 16 ,OMP,0,32,16,2,0.00001,0.00002,0.00134,0.00009,0.00146
./mandelbrot_pth -0.188 -0.012 0.554 0.754 32 16 ,PTH,0,32,16,2,0.00001,0.00005,0.00078,0.00007,0.00090
./mandelbrot_omp -0.188 -0.012 0.554 0.754 32 16 ,OMP,0,32,16,3,0.00001,0.00002,0.00143,0.00011,0.00157
./mandelbrot_pth -0.188 -0.012 0.554 0.754 32 16 ,PTH,0,32,16,3,0.00001,0.00005,0.00090,0.00008,0.00104
./mandelbrot_omp -0.188 -0.012 0.554 0.754 32 16 ,OMP,0,32,16,4,0.00001,0.00002,0.00117,0.00007,0.00127
./mandelbrot_pth -0.188 -0.012 0.554 0.754 32 16 ,PTH,0,32,16,4,0.00001,0.00006,0.00090,0.00008,0.00105
./mandelbrot_omp -0.188 -0.012 0.554 0.754 32 16 ,OMP,0,32,16,5,0.00001,0.00003,0.00106,0.00011,0.00120
./mandelbrot_pth -0.188 -0.012 0.554 0.754 32 16 ,PTH,0,32,16,5,0.00001,0.00005,0.00098,0.00010,0.00114
./mandelbrot_omp -0.188 -0.012 0.554 0.754 32 16 ,OMP,0,32,16,6,0.00001,0.00002,0.00123,0.00009,0.00135
./mandelbrot_pth -0.188 -0.012 0.554 0.754 32 16 ,PTH,0,32,16,6,0.00001,0.00005,0.00093,0.00007,0.00106
./mandelbrot_omp -0.188 -0.012 0.554 0.754 32 16 ,OMP,0,32,16,7,0.00001,0.00002,0.00126,0.00007,0.00136
./mandelbrot_pth -0.188 -0.012 0.554 0.754 32 16 ,PTH,0,32,16,7,0.00001,0.00006,0.00067,0.00009,0.00083
./mandelbrot_omp -0.188 -0.012 0.554 0.754 32 16 ,OMP,0,32,16,8,0.00001,0.00002,0.00128,0.00009,0.00140
./mandelbrot_pth -0.188 -0.012 0.554 0.754 32 16 ,PTH,0,32,16,8,0.00001,0.00005,0.00066,0.00010,0.00081
./mandelbrot_omp -0.188 -0.012 0.554 0.754 32 16 ,OMP,0,32,16,9,0.00001,0.00002,0.00117,0.00007,0.00127
./mandelbrot_pth -0.188 -0.012 0.554 0.754 32 16 ,PTH,0,32,16,9,0.00001,0.00005,0.00118,0.00007,0.00131
./mandelbrot_omp -0.188 -0.012 0.554 0.754 64 16 ,OMP,0,64,16,0,0.00001,0.00008,0.00147,0.00014,0.00171
./mandelbrot_pth -0.188 -0.012 0.554 0.754 64 16 ,PTH,0,64,16,0,0.00001,0.00010,0.00129,0.00017,0.00158
./mandelbrot_omp -0.188 -0.012 0.554 0.754 64 16 ,OMP,0,64,16,1,0.00001,0.00014,0.00163,0.00015,0.00194
./mandelbrot_pth -0.188 -0.012 0.554 0.754 64 16 ,PTH,0,64,16,1,0.00001,0.00013,0.00139,0.00016,0.00169
./mandelbrot_omp -0.188 -0.012 0.554 0.754 64 16 ,OMP,0,64,16,2,0.00001,0.00008,0.00167,0.00014,0.00190
./mandelbrot_pth -0.188 -0.012 0.554 0.754 64 16 ,PTH,0,64,16,2,0.00001,0.00012,0.00129,0.00015,0.00157
./mandelbrot_omp -0.188 -0.012 0.554 0.754 64 16 ,OMP,0,64,16,3,0.00001,0.00008,0.00162,0.00014,0.00185
./mandelbrot_pth -0.188 -0.012 0.554 0.754 64 16 ,PTH,0,64,16,3,0.00001,0.00012,0.00113,0.00015,0.00140
./mandelbrot_omp -0.188 -0.012 0.554 0.754 64 16 ,OMP,0,64,16,4,0.00001,0.00008,0.00160,0.00014,0.00183
./mandelbrot_pth -0.188 -0.012 0.554 0.754 64 16 ,PTH,0,64,16,4,0.00001,0.00011,0.00124,0.00014,0.00149
./mandelbrot_omp -0.188 -0.012 0.554 0.754 64 16 ,OMP,0,64,16,5,0.00001,0.00008,0.00154,0.00015,0.00179
./mandelbrot_pth -0.188 -0.012 0.554 0.754 64 16 ,PTH,0,64,16,5,0.00002,0.00014,0.00120,0.00018,0.00154
./mandelbrot_omp -0.188 -0.012 0.554 0.754 64 16 ,OMP,0,64,16,6,0.00001,0.00008,0.00157,0.00015,0.00181
./mandelbrot_pth -0.188 -0.012 0.554 0.754 64 16 ,PTH,0,64,16,6,0.00001,0.00017,0.00128,0.00015,0.00161
./mandelbrot_omp -0.188 -0.012 0.554 0.754 64 16 ,OMP,0,64,16,7,0.00001,0.00008,0.00158,0.00016,0.00183
./mandelbrot_pth -0.188 -0.012 0.554 0.754 64 16 ,PTH,0,64,16,7,0.00001,0.00012,0.00106,0.00019,0.00139
./mandelbrot_omp -0.188 -0.012 0.554 0.754 64 16 ,OMP,0,64,16,8,0.00001,0.00009,0.00152,0.00017,0.00179
./mandelbrot_pth -0.188 -0.012 0.554 0.754 64 16 ,PTH,0,64,16,8,0.00002,0.00017,0.00143,0.00016,0.00178
./mandelbrot_omp -0.188 -0.012 0.554 0.754 64 16 ,OMP,0,64,16,9,0.00001,0.00012,0.00160,0.00018,0.00191
./mandelbrot_pth -0.188 -0.012 0.554 0.754 64 16 ,PTH,0,64,16,9,0.00001,0.00011,0.00127,0.00018,0.00157
./mandelbrot_omp -0.188 -0.012 0.554 0.754 128 16 ,OMP,0,128,16,0,0.00001,0.00035,0.00401,0.00045,0.00482
./mandelbrot_pth -0.188 -0.012 0.554 0.754 128 16 ,PTH,0,128,16,0,0.00001,0.00037,0.00275,0.00049,0.00362
./mandelbrot_omp -0.188 -0.012 0.554 0.754 128 16 ,OMP,0,128,16,1,0.00001,0.00035,0.00377,0.00042,0.00455
./mandelbrot_pth -0.188 -0.012 0.554 0.754 128 16 ,PTH,0,128,16,1,0.00001,0.00033,0.00256,0.00040,0.00331
./mandelbrot_omp -0.188 -0.012 0.554 0.754 128 16 ,OMP,0,128,16,2,0.00001,0.00035,0.00378,0.00041,0.00455
./mandelbrot_pth -0.188 -0.012 0.554 0.754 128 16 ,PTH,0,128,16,2,0.00001,0.00034,0.00263,0.00040,0.00339
./mandelbrot_omp -0.188 -0.012 0.554 0.754 128 16 ,OMP,0,128,16,3,0.00001,0.00037,0.00416,0.00045,0.00498
./mandelbrot_pth -0.188 -0.012 0.554 0.754 128 16 ,PTH,0,128,16,3,0.00001,0.00036,0.00298,0.00061,0.00396
./mandelbrot_omp -0.188 -0.012 0.554 0.754 128 16 ,OMP,0,128,16,4,0.00002,0.00034,0.00387,0.00043,0.00466
./mandelbrot_pth -0.188 -0.012 0.554 0.754 128 16 ,PTH,0,128,16,4,0.00001,0.00036,0.00274,0.00040,0.00351
./mandelbrot_omp -0.188 -0.012 0.554 0.754 128 16 ,OMP,0,128,16,5,0.00001,0.00031,0.00402,0.00042,0.00475
./mandelbrot_pth -0.188 -0.012 0.554 0.754 128 16 ,PTH,0,128,16,5,0.00001,0.00067,0.00382,0.00044,0.00494
./mandelbrot_omp -0.188 -0.012 0.554 0.754 128 16 ,OMP,0,128,16,6,0.00001,0.00034,0.00421,0.00051,0.00507
./mandelbrot_pth -0.188 -0.012 0.554 0.754 128 16 ,PTH,0,128,16,6,0.00001,0.00038,0.00261,0.00042,0.00342
./mandelbrot_omp -0.188 -0.012 0.554 0.754 128 16 ,OMP,0,128,16,7,0.00001,0.00036,0.00382,0.00041,0.00460
./mandelbrot_pth -0.188 -0.012 0.554 0.754 128 16 ,PTH,0,128,16,7,0.00001,0.00037,0.00259,0.00040,0.00338
./mandelbrot_omp -0.188 -0.012 0.554 0.754 128 16 ,OMP,0,128,16,8,0.00001,0.00034,0.00364,0.00041,0.00441
./mandelbrot_pth -0.188 -0.012 0.554 0.754 128 16 ,PTH,0,128,16,8,0.00001,0.00040,0.00266,0.00045,0.00353
./mandelbrot_omp -0.188 -0.012 0.554 0.754 128 16 ,OMP,0,128,16,9,0.00002,0.00035,0.00388,0.00061,0.00485
./mandelbrot_pth -0.188 -0.012 0.554 0.754 128 16 ,PTH,0,128,16,9,0.00001,0.00037,0.00275,0.00053,0.00367
./mandelbrot_omp -0.188 -0.012 0.554 0.754 256 16 ,OMP,0,256,16,0,0.00001,0.00141,0.01099,0.00149,0.01390
./mandelbrot_pth -0.188 -0.012 0.554 0.754 256 16 ,PTH,0,256,16,0,0.00001,0.00145,0.00768,0.00197,0.01111
./mandelbrot_omp -0.188 -0.012 0.554 0.754 256 16 ,OMP,0,256,16,1,0.00001,0.00146,0.01060,0.00151,0.01358
./mandelbrot_pth -0.188 -0.012 0.554 0.754 256 16 ,PTH,0,256,16,1,0.00001,0.00139,0.00737,0.00144,0.01021
./mandelbrot_omp -0.188 -0.012 0.554 0.754 256 16 ,OMP,0,256,16,2,0.00002,0.00139,0.01015,0.00145,0.01301
./mandelbrot_pth -0.188 -0.012 0.554 0.754 256 16 ,PTH,0,256,16,2,0.00001,0.00160,0.00879,0.00183,0.01222
./mandelbrot_omp -0.188 -0.012 0.554 0.754 256 16 ,OMP,0,256,16,3,0.00001,0.00145,0.01044,0.00154,0.01344
./mandelbrot_pth -0.188 -0.012 0.554 0.754 256 16 ,PTH,0,256,16,3,0.00001,0.00145,0.00797,0.00148,0.01092
./mandelbrot_omp -0.188 -0.012 0.554 0.754 256 16 ,OMP,0,256,16,4,0.00001,0.00142,0.01091,0.00151,0.01385
./mandelbrot_pth -0.188 -0.012 0.554 0.754 256 16 ,PTH,0,256,16,4,0.00001,0.00146,0.00865,0.00147,0.01159
./mandelbrot_omp -0.188 -0.012 0.554 0.754 256 16 ,OMP,0,256,16,5,0.00001,0.00197,0.01145,0.00155,0.01498
./mandelbrot_pth -0.188 -0.012 0.554 0.754 256 16 ,PTH,0,256,16,5,0.00001,0.00145,0.00784,0.00145,0.01075
./mandelbrot_omp -0.188 -0.012 0.554 0.754 256 16 ,OMP,0,256,16,6,0.00001,0.00141,0.01024,0.00148,0.01314
./mandelbrot_pth -0.188 -0.012 0.554 0.754 256 16 ,PTH,0,256,16,6,0.00002,0.00223,0.00829,0.00147,0.01201
./mandelbrot_omp -0.188 -0.012 0.554 0.754 256 16 ,OMP,0,256,16,7,0.00001,0.00181,0.01154,0.00199,0.01536
./mandelbrot_pth -0.188 -0.012 0.554 0.754 256 16 ,PTH,0,256,16,7,0.00001,0.00161,0.00903,0.00154,0.01219
./mandelbrot_omp -0.188 -0.012 0.554 0.754 256 16 ,OMP,0,256,16,8,0.00001,0.00141,0.01069,0.00151,0.01363
./mandelbrot_pth -0.188 -0.012 0.554 0.754 256 16 ,PTH,0,256,16,8,0.00001,0.00145,0.00830,0.00149,0.01126
./mandelbrot_omp -0.188 -0.012 0.554 0.754 256 16 ,OMP,0,256,16,9,0.00001,0.00142,0.01390,0.00159,0.01692
./mandelbrot_pth -0.188 -0.012 0.554 0.754 256 16 ,PTH,0,256,16,9,0.00002,0.00158,0.00939,0.00147,0.01246
./mandelbrot_omp -0.188 -0.012 0.554 0.754 512 16 ,OMP,0,512,16,0,0.00001,0.00595,0.04244,0.00594,0.05434
./mandelbrot_pth -0.188 -0.012 0.554 0.754 512 16 ,PTH,0,512,16,0,0.00001,0.00577,0.04022,0.00615,0.05215
./mandelbrot_omp -0.188 -0.012 0.554 0.754 512 16 ,OMP,0,512,16,1,0.00001,0.00605,0.03874,0.00697,0.05178
./mandelbrot_pth -0.188 -0.012 0.554 0.754 512 16 ,PTH,0,512,16,1,0.00001,0.00662,0.04048,0.00681,0.05393
./mandelbrot_omp -0.188 -0.012 0.554 0.754 512 16 ,OMP,0,512,16,2,0.00001,0.00716,0.04331,0.00616,0.05665
./mandelbrot_pth -0.188 -0.012 0.554 0.754 512 16 ,PTH,0,512,16,2,0.00002,0.00622,0.04090,0.00642,0.05355
./mandelbrot_omp -0.188 -0.012 0.554 0.754 512 16 ,OMP,0,512,16,3,0.00001,0.00631,0.03979,0.00727,0.05339
./mandelbrot_pth -0.188 -0.012 0.554 0.754 512 16 ,PTH,0,512,16,3,0.00001,0.00587,0.03170,0.00615,0.04373
./mandelbrot_omp -0.188 -0.012 0.554 0.754 512 16 ,OMP,0,512,16,4,0.00001,0.00657,0.04357,0.00606,0.05621
./mandelbrot_pth -0.188 -0.012 0.554 0.754 512 16 ,PTH,0,512,16,4,0.00001,0.00751,0.03352,0.00680,0.04784
./mandelbrot_omp -0.188 -0.012 0.554 0.754 512 16 ,OMP,0,512,16,5,0.00001,0.00617,0.04382,0.00612,0.05613
./mandelbrot_pth -0.188 -0.012 0.554 0.754 512 16 ,PTH,0,512,16,5,0.00002,0.00630,0.03339,0.00608,0.04579
./mandelbrot_omp -0.188 -0.012 0.554 0.754 512 16 ,OMP,0,512,16,6,0.00002,0.00714,0.04602,0.00615,0.05932
./mandelbrot_pth -0.188 -0.012 0.554 0.754 512 16 ,PTH,0,512,16,6,0.00002,0.00588,0.03960,0.00776,0.05326
./mandelbrot_omp -0.188 -0.012 0.554 0.754 512 16 ,OMP,0,512,16,7,0.00001,0.00726,0.04413,0.00687,0.05828
./mandelbrot_pth -0.188 -0.012 0.554 0.754 512 16 ,PTH,0,512,16,7,0.00002,0.00625,0.03848,0.00642,0.05118
./mandelbrot_omp -0.188 -0.012 0.554 0.754 512 16 ,OMP,0,512,16,8,0.00001,0.00673,0.04140,0.00792,0.05606
./mandelbrot_pth -0.188 -0.012 0.554 0.754 512 16 ,PTH,0,512,16,8,0.00002,0.00697,0.04000,0.00700,0.05398
./mandelbrot_omp -0.188 -0.012 0.554 0.754 512 16 ,OMP,0,512,16,9,0.00001,0.00620,0.04253,0.00820,0.05694
./mandelbrot_pth -0.188 -0.012 0.554 0.754 512 16 ,PTH,0,512,16,9,0.00001,0.00614,0.03351,0.00629,0.04596
./mandelbrot_omp -0.188 -0.012 0.554 0.754 1024 16 ,OMP,0,1024,16,0,0.00001,0.02541,0.18482,0.02590,0.23614
./mandelbrot_pth -0.188 -0.012 0.554 0.754 1024 16 ,PTH,0,1024,16,0,0.00001,0.03317,0.16361,0.02558,0.22237
./mandelbrot_omp -0.188 -0.012 0.554 0.754 1024 16 ,OMP,0,1024,16,1,0.00002,0.02690,0.17083,0.02510,0.22284
./mandelbrot_pth -0.188 -0.012 0.554 0.754 1024 16 ,PTH,0,1024,16,1,0.00001,0.02676,0.16655,0.03618,0.22950
./mandelbrot_omp -0.188 -0.012 0.554 0.754 1024 16 ,OMP,0,1024,16,2,0.00001,0.02624,0.17642,0.02724,0.22991
./mandelbrot_pth -0.188 -0.012 0.554 0.754 1024 16 ,PTH,0,1024,16,2,0.00001,0.02690,0.16035,0.02631,0.21357
./mandelbrot_omp -0.188 -0.012 0.554 0.754 1024 16 ,OMP,0,1024,16,3,0.00002,0.02597,0.16853,0.02618,0.22070
./mandelbrot_pth -0.188 -0.012 0.554 0.754 1024 16 ,PTH,0,1024,16,3,0.00001,0.02871,0.15855,0.02419,0.21146
./mandelbrot_omp -0.188 -0.012 0.554 0.754 1024 16 ,OMP,0,1024,16,4,0.00001,0.02292,0.16071,0.02358,0.20723
./mandelbrot_pth -0.188 -0.012 0.554 0.754 1024 16 ,PTH,0,1024,16,4,0.00001,0.02428,0.11709,0.02344,0.16482
./mandelbrot_omp -0.188 -0.012 0.554 0.754 1024 16 ,OMP,0,1024,16,5,0.00001,0.02197,0.12404,0.02231,0.16832
