tipo,regiao,tamanho,threads,total_mean,total_std,write_mean,write_std,mondelbrot_mean,mondelbrot_std,image_buffer_mean,image_buffer_std
OMP,2,16,1,0.025111,0.07860333247812505,0.024931,0.07860684539741646,0.000161,5.676462121975471e-06,4.000000000000001e-06,5.163977794943223e-06
OMP,2,16,2,0.027132000000000007,0.06916289351957448,0.026885,0.06917934329616673,0.00023500000000000005,2.321398046197353e-05,3.0000000000000005e-06,4.83045891539648e-06
OMP,2,16,4,0.021216000000000002,0.06591030642724499,0.020924999999999992,0.06592119322848052,0.00026999999999999995,1.6329931618554523e-05,7.000000000000001e-06,4.83045891539648e-06
OMP,2,16,8,0.036747,0.07570229426289976,0.02505,0.07870920657712159,0.01168,0.012688286811946767,5e-06,5.2704627669473e-06
OMP,2,16,16,0.024249,0.07310524581420648,0.023204999999999996,0.07313118536043445,0.00103,9.93310961716756e-05,6e-06,5.163977794943223e-06
OMP,2,16,32,0.026812999999999997,0.07466642589990945,0.025049,0.07468559335269717,0.001753,0.00012684636376341266,2.0000000000000003e-06,4.216370213557839e-06
OMP,2,32,1,0.0007610000000000001,1.3703203194062934e-05,7.599999999999999e-05,6.992058987801015e-06,0.0006540000000000001,5.16397779494324e-06,2.4e-05,5.163977794943222e-06
OMP,2,32,2,0.0012040000000000002,0.0022592093012084266,0.0007939999999999999,0.002244381627283758,0.00038300000000000004,3.3015148038438355e-05,2.1000000000000002e-05,7.378647873726219e-06
OMP,2,32,4,0.000601,3.381321240777538e-05,8.7e-05,1.7669811040931432e-05,0.00048399999999999995,2.2211108331943576e-05,2e-05,0.0
OMP,2,32,8,0.000614,5.316640543300506e-05,8.099999999999999e-05,1.9692073983655903e-05,0.000506,3.373096170846271e-05,2e-05,0.0
OMP,2,32,16,0.001247,0.00019939073866824075,6.400000000000001e-05,5.16397779494322e-06,0.001156,0.00019619717972828594,1.9e-05,3.1622776601683796e-06
OMP,2,32,32,0.0021079999999999996,0.00031971515099816247,6.500000000000001e-05,5.2704627669472975e-06,0.002016,0.0003209776731591571,2e-05,0.0
OMP,2,64,1,0.002681,9.814388530225548e-05,0.00012800000000000002,3.8239014399199976e-05,0.0024590000000000002,8.033955715862793e-05,8.5e-05,7.071067811865477e-06
OMP,2,64,2,0.001503,0.00011185804495977127,0.000136,3.098386676965934e-05,0.0012820000000000002,7.46547609555702e-05,7.599999999999999e-05,1.3498971154211065e-05
