algoritmo,regiao,tamanho,threads,total_mean,total_std,int_confianca_inf,int_confianca_sup
OMP,3,32,4,0.000279,0.000013703203194063,0.000270506666666667,0.000287493333333333
OMP,3,32,8,0.000345,0.0000850163382990457,0.000292306327598932,0.000397693672401068
OMP,3,32,16,0.000936,0.0000611373680965887,0.000898106666666667,0.000973893333333334
OMP,3,32,32,0.001681,0.0002433310502176,0.00153018185255083,0.00183181814744917
OMP,3,64,1,0.000486,0.0000337309617084627,0.000465093333333333,0.000506906666666667
OMP,3,64,2,0.000542,0.0000436653943835008,0.000514935908168448,0.000569064091831552
OMP,3,64,4,0.000545,0.0000812745689349107,0.000494625500278194,0.000595374499721806
OMP,3,64,8,0.000815,0.000750262916879439,0.000349982226385079,0.00128001777361492
OMP,3,64,16,0.001041,0.000065565912552857,0.00100036182637525,0.00108163817362475
OMP,3,64,32,0.001828,0.000141012213813004,0.00174059972438386,0.00191540027561614
OMP,3,128,1,0.001708,0.0000781451640644939,0.00165956512551202,0.00175643487448798
OMP,3,128,2,0.001446,0.0000852708104283705,0.00139314860413911,0.00149885139586089
OMP,3,128,4,0.001532,0.000147933919181655,0.00144030960694938,0.00162369039305062
OMP,3,128,8,0.001506,0.000214123536513128,0.00137328485709778,0.00163871514290222
OMP,3,128,16,0.001866,0.000318928762509052,0.00166832590502997,0.00206367409497003
OMP,3,128,32,0.002379,0.000116184718826913,0.00230698796520334,0.00245101203479666
OMP,3,256,1,0.006263,0.000323042824818423,0.00606277598279261,0.00646322401720739
OMP,3,256,2,0.005307,0.000445621912487356,0.00503080067712691,0.0055831993228731
OMP,3,256,4,0.005091,0.000171687700976706,0.00498458686046044,0.00519741313953956
OMP,3,256,8,0.006095,0.00145005938575709,0.00519624388130656,0.00699375611869344
OMP,3,256,16,0.004746,0.000321116109149877,0.00454697017353617,0.00494502982646383
OMP,3,256,32,0.005118,0.000465660820769796,0.00482938043309574,0.00540661956690426
OMP,3,512,1,0.029388,0.00182381651123864,0.0282575868148917,0.0305184131851083
OMP,3,512,2,0.020469,0.000696793449388778,0.0200371229456843,0.0209008770543157
OMP,3,512,4,0.019126,0.000580233669404931,0.0187663674457944,0.0194856325542056
OMP,3,512,8,0.027499,0.00444830167342299,0.0247419140585192,0.0302560859414808
OMP,3,512,16,0.017621,0.00130027732084779,0.0168150797669468,0.0184269202330531
OMP,3,512,32,0.015906,0.000732912000174647,0.0154517364359758,0.0163602635640242
OMP,3,1024,1,0.116983,0.0204516595631966,0.104306930074587,0.129659069925413
OMP,3,1024,2,0.077608,0.00546934446610276,0.0742180651790992,0.0809979348209008
OMP,3,1024,4,0.091887,0.0093157227309533,0.0861130552314384,0.0976609447685616
OMP,3,1024,8,0.0972,0.00421519473650585,0.0945873952348917,0.0998126047651083
OMP,3,1024,16,0.075725,0.00284973780470336,0.0739587142093585,0.0774912857906415
